review_rank,candidate_id,image_id,run_date,review_category,suggested_label,human_label,label_status,x,y,snr,blob_size,artifact_flags,frame_count,motion_consistency,candidate_score,next_action,reason
47,1357352003-0194,N1357352003,2001-01-05,strong_single_frame_candidate,uncertain,,unlabeled,380.15,543.48,164.61,8,,1,1.000,0.4375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
48,1357637415-0069,N1357637415,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,95.74,471.57,284.94,7,,1,1.000,0.4125,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
49,1357665093-0016,N1357665093,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,807.46,164.30,395.79,6,,1,1.000,0.3875,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
50,1357685285-0112,N1357685285,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,474.82,382.50,379.47,6,,1,1.000,0.3875,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
51,1357682416-0008,N1357682416,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,428.07,73.69,317.53,6,,1,1.000,0.3875,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
52,1357685285-0093,N1357685285,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,504.70,306.29,162.69,6,,1,1.000,0.3875,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
53,1357352003-0192,N1357352003,2001-01-05,strong_single_frame_candidate,uncertain,,unlabeled,823.83,535.84,564.80,5,,1,1.000,0.3625,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
54,1357667116-1600,N1357667116,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,367.96,1009.04,402.78,5,,1,1.000,0.3625,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
55,1357674094-0052,N1357674094,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,316.82,479.90,203.84,5,,1,1.000,0.3625,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
56,1357638093-0061,N1357638093,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,717.61,548.63,173.37,5,,1,1.000,0.3625,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
57,1357667285-0006,N1357667285,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,164.95,31.31,287.36,4,,1,1.000,0.3375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
58,1357667794-0108,N1357667794,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,895.25,681.83,270.60,4,,1,1.000,0.3375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
59,1357685285-0055,N1357685285,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,906.18,154.87,255.45,4,,1,1.000,0.3375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
60,1357664584-0715,N1357664584,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,153.93,752.40,243.76,4,,1,1.000,0.3375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
61,1358117118-0033,N1358117118,2001-01-13,strong_single_frame_candidate,uncertain,,unlabeled,979.81,140.15,184.23,4,,1,1.000,0.3375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
62,1357673416-1543,N1357673416,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,158.93,814.90,178.46,4,,1,1.000,0.3375,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
63,1357673585-0019,N1357673585,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,98.12,89.79,250.98,3,,1,1.000,0.3125,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
64,1357685285-0071,N1357685285,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,587.04,220.95,205.82,3,,1,1.000,0.3125,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
65,1357646584-0889,N1357646584,2001-01-08,strong_single_frame_candidate,uncertain,,unlabeled,616.14,779.43,205.13,3,,1,1.000,0.3125,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
66,1358114587-0121,N1358114587,2001-01-13,strong_single_frame_candidate,uncertain,,unlabeled,622.86,585.04,178.89,3,,1,1.000,0.3125,single_frame_visual_review,"Strong bright blob, but single-frame evidence is weak by itself."
67,1357685116-0026,N1357685116,2001-01-08,likely_artifact,artifact,,unlabeled,715.00,96.00,366.52,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
68,1357806858-0398,N1357806858,2001-01-10,likely_artifact,artifact,,unlabeled,402.00,601.00,296.12,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
69,1357811330-0392,N1357811330,2001-01-10,likely_artifact,artifact,,unlabeled,402.00,601.00,292.83,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
70,1358063118-0224,N1358063118,2001-01-13,likely_artifact,artifact,,unlabeled,988.00,902.00,200.02,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
71,1357352003-0215,N1357352003,2001-01-05,likely_artifact,artifact,,unlabeled,402.00,601.00,191.47,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
72,1357691416-0701,N1357691416,2001-01-09,likely_artifact,artifact,,unlabeled,522.00,747.00,176.83,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
73,1358117118-0283,N1358117118,2001-01-13,likely_artifact,artifact,,unlabeled,318.00,946.00,172.49,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
74,1357806858-0226,N1357806858,2001-01-10,likely_artifact,artifact,,unlabeled,623.00,335.00,152.87,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
75,1358108287-0180,N1358108287,2001-01-13,likely_artifact,artifact,,unlabeled,402.00,601.00,151.10,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
76,1357352003-0267,N1357352003,2001-01-05,likely_artifact,artifact,,unlabeled,731.00,735.00,150.99,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
77,1357811330-0216,N1357811330,2001-01-10,likely_artifact,artifact,,unlabeled,623.00,335.00,150.48,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
78,1358117287-0194,N1358117287,2001-01-13,likely_artifact,artifact,,unlabeled,402.00,601.00,150.02,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
79,1358063287-0194,N1358063287,2001-01-13,likely_artifact,artifact,,unlabeled,402.00,601.00,148.97,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
80,1357685285-0182,N1357685285,2001-01-08,likely_artifact,artifact,,unlabeled,402.00,601.00,147.11,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
81,1357658284-0162,N1357658284,2001-01-08,likely_artifact,artifact,,unlabeled,402.00,601.00,144.03,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
82,1357676285-0173,N1357676285,2001-01-08,likely_artifact,artifact,,unlabeled,402.00,601.00,143.75,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
83,1357649284-0160,N1357649284,2001-01-08,likely_artifact,artifact,,unlabeled,402.00,601.00,143.46,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
84,1357667285-0154,N1357667285,2001-01-08,likely_artifact,artifact,,unlabeled,402.00,601.00,141.09,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
85,1358063287-0001,N1358063287,2001-01-13,likely_artifact,artifact,,unlabeled,492.00,4.00,139.15,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
86,1357631284-0168,N1357631284,2001-01-08,likely_artifact,artifact,,unlabeled,402.00,601.00,137.63,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
87,1358117287-0242,N1358117287,2001-01-13,likely_artifact,artifact,,unlabeled,731.00,735.00,132.23,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
88,1358108118-0149,N1358108118,2001-01-13,likely_artifact,artifact,,unlabeled,402.00,601.00,131.08,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
89,1358108287-0236,N1358108287,2001-01-13,likely_artifact,artifact,,unlabeled,731.00,735.00,129.94,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
90,1357685285-0216,N1357685285,2001-01-08,likely_artifact,artifact,,unlabeled,731.00,735.00,129.72,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
91,1358063118-0152,N1358063118,2001-01-13,likely_artifact,artifact,,unlabeled,402.00,601.00,129.67,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
92,1357685116-0155,N1357685116,2001-01-08,likely_artifact,artifact,,unlabeled,402.00,601.00,128.88,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
93,1358063287-0234,N1358063287,2001-01-13,likely_artifact,artifact,,unlabeled,731.00,735.00,128.50,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
94,1356981845-0194,N1356981845,2000-12-31,likely_artifact,artifact,,unlabeled,402.00,601.00,128.17,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
95,1357649284-0201,N1357649284,2001-01-08,likely_artifact,artifact,,unlabeled,731.00,735.00,127.78,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
96,1357658284-0216,N1357658284,2001-01-08,likely_artifact,artifact,,unlabeled,731.00,735.00,126.73,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
97,1358117118-0135,N1358117118,2001-01-13,likely_artifact,artifact,,unlabeled,402.00,601.00,125.33,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
98,1357658115-0139,N1357658115,2001-01-08,likely_artifact,artifact,,unlabeled,402.00,601.00,123.82,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
99,1357667116-0147,N1357667116,2001-01-08,likely_artifact,artifact,,unlabeled,402.00,601.00,122.69,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
100,1357649115-0135,N1357649115,2001-01-08,likely_artifact,artifact,,unlabeled,402.00,601.00,121.56,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
101,1357676116-0127,N1357676116,2001-01-08,likely_artifact,artifact,,unlabeled,402.00,601.00,121.05,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
102,1357676285-0213,N1357676285,2001-01-08,likely_artifact,artifact,,unlabeled,731.00,735.00,121.05,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
103,1357676116-0023,N1357676116,2001-01-08,likely_artifact,artifact,,unlabeled,133.00,117.00,120.42,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
104,1358063287-0081,N1358063287,2001-01-13,likely_artifact,artifact,,unlabeled,399.00,299.00,120.21,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
105,1357667285-0194,N1357667285,2001-01-08,likely_artifact,artifact,,unlabeled,731.00,735.00,118.79,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
106,1356977373-0211,N1356977373,2000-12-31,likely_artifact,artifact,,unlabeled,402.00,601.00,118.77,1,single_pixel|too_small,1,,0.0000,review_as_negative_example,Artifact-flagged rows are useful false-positive/negative-training examples.
