review_rank,candidate_id,image_id,run_date,x,y,crop_url,review_category,next_action,suggested_label,human_label,confidence,reviewer,review_note,snr,blob_size,artifact_flags,frame_count,motion_consistency,candidate_score,reason
22,1356990399-0263,N1356990399,2000-12-31,382.48,864.12,/api/detection-crop?image=1356990399&x=382&y=864&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,43.14,3,,3,0.857,0.7018,Repeated candidate with strong pixel-motion consistency.
23,1356981455-0275,N1356981455,2000-12-31,343.62,791.13,/api/detection-crop?image=1356981455&x=344&y=791&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,38.33,10,,3,0.781,0.6962,Repeated candidate with strong pixel-motion consistency.
24,1356981455-0109,N1356981455,2000-12-31,909.59,321.38,/api/detection-crop?image=1356981455&x=910&y=321&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,14.01,3,,3,0.994,0.6950,Repeated candidate with strong pixel-motion consistency.
25,1356985927-0012,N1356985927,2000-12-31,493.50,54.00,/api/detection-crop?image=1356985927&x=494&y=54&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,11.67,4,,3,0.981,0.6917,Repeated candidate with strong pixel-motion consistency.
26,1356985927-0354,N1356985927,2000-12-31,558.34,822.42,/api/detection-crop?image=1356985927&x=558&y=822&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,14.54,5,,3,0.847,0.6866,Repeated candidate with strong pixel-motion consistency.
27,1356976983-0402,N1356976983,2000-12-31,713.50,944.42,/api/detection-crop?image=1356976983&x=714&y=944&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,8.78,13,,3,0.984,0.6862,Repeated candidate with strong pixel-motion consistency.
28,1356985927-0074,N1356985927,2000-12-31,905.42,252.21,/api/detection-crop?image=1356985927&x=905&y=252&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,35.64,3,,3,0.779,0.6822,Repeated candidate with strong pixel-motion consistency.
29,1356985927-0055,N1356985927,2000-12-31,451.71,196.90,/api/detection-crop?image=1356985927&x=452&y=197&crop=128,top_unmatched_temporal_track,priority_temporal_review,uncertain,,,,,44.99,3,,3,0.776,0.6815,Repeated candidate with strong pixel-motion consistency.
30,1356990399-0348,N1356990399,2000-12-31,734.98,945.68,/api/detection-crop?image=1356990399&x=735&y=946&crop=128,top_unmatched_temporal_track,temporal_review,uncertain,,,,,8.34,3,,3,0.685,0.7089,Repeated candidate needs visual and geometry review.
31,1356990399-0279,N1356990399,2000-12-31,859.48,919.10,/api/detection-crop?image=1356990399&x=859&y=919&crop=128,top_unmatched_temporal_track,temporal_review,uncertain,,,,,16.78,6,,3,0.744,0.6985,Repeated candidate needs visual and geometry review.
32,1356985927-0189,N1356985927,2000-12-31,752.72,567.15,/api/detection-crop?image=1356985927&x=753&y=567&crop=128,top_unmatched_temporal_track,temporal_review,uncertain,,,,,33.22,9,,3,0.412,0.6904,Repeated candidate needs visual and geometry review.
33,1356985927-0173,N1356985927,2000-12-31,180.25,527.56,/api/detection-crop?image=1356985927&x=180&y=528&crop=128,top_unmatched_temporal_track,temporal_review,uncertain,,,,,12.51,3,,3,0.671,0.6868,Repeated candidate needs visual and geometry review.
34,1356976983-0095,N1356976983,2000-12-31,389.49,311.88,/api/detection-crop?image=1356976983&x=389&y=312&crop=128,top_unmatched_temporal_track,temporal_review,uncertain,,,,,19.69,4,,3,0.739,0.6753,Repeated candidate needs visual and geometry review.
35,1356985927-0198,N1356985927,2000-12-31,433.66,575.91,/api/detection-crop?image=1356985927&x=434&y=576&crop=128,top_unmatched_temporal_track,temporal_review,uncertain,,,,,41.70,3,,3,0.744,0.6735,Repeated candidate needs visual and geometry review.
36,1356976983-0286,N1356976983,2000-12-31,349.71,798.22,/api/detection-crop?image=1356976983&x=350&y=798&crop=128,top_unmatched_temporal_track,temporal_review,uncertain,,,,,44.32,5,,3,0.725,0.6687,Repeated candidate needs visual and geometry review.
37,1357352003-0272,N1357352003,2001-01-05,626.87,751.47,/api/detection-crop?image=1357352003&x=627&y=751&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,564.80,11,,1,1.000,0.4375,"Strong bright blob, but single-frame evidence is weak by itself."
38,1357811330-0180,N1357811330,2001-01-10,637.48,276.04,/api/detection-crop?image=1357811330&x=637&y=276&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,434.10,9,,1,1.000,0.4375,"Strong bright blob, but single-frame evidence is weak by itself."
39,1357811330-0399,N1357811330,2001-01-10,807.98,614.96,/api/detection-crop?image=1357811330&x=808&y=615&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,428.93,34,,1,1.000,0.4375,"Strong bright blob, but single-frame evidence is weak by itself."
40,1358099796-0108,N1358099796,2001-01-13,812.74,818.98,/api/detection-crop?image=1358099796&x=813&y=819&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,371.83,10,,1,1.000,0.4375,"Strong bright blob, but single-frame evidence is weak by itself."
41,1357658284-0195,N1357658284,2001-01-08,713.61,689.45,/api/detection-crop?image=1357658284&x=714&y=689&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,370.72,16,,1,1.000,0.4375,"Strong bright blob, but single-frame evidence is weak by itself."
42,1358105418-1483,N1358105418,2001-01-13,28.87,888.11,/api/detection-crop?image=1358105418&x=29&y=888&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,363.68,17,,1,1.000,0.4375,"Strong bright blob, but single-frame evidence is weak by itself."
43,1357667285-0063,N1357667285,2001-01-08,164.06,271.23,/api/detection-crop?image=1357667285&x=164&y=271&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,363.49,9,,1,1.000,0.4375,"Strong bright blob, but single-frame evidence is weak by itself."
44,1357646415-0076,N1357646415,2001-01-08,689.56,470.36,/api/detection-crop?image=1357646415&x=690&y=470&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,305.50,8,,1,1.000,0.4375,"Strong bright blob, but single-frame evidence is weak by itself."
45,1358114587-0079,N1358114587,2001-01-13,259.57,429.91,/api/detection-crop?image=1358114587&x=260&y=430&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,229.84,9,,1,1.000,0.4375,"Strong bright blob, but single-frame evidence is weak by itself."
46,1357628584-0070,N1357628584,2001-01-08,939.70,418.53,/api/detection-crop?image=1357628584&x=940&y=419&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,223.82,11,,1,1.000,0.4375,"Strong bright blob, but single-frame evidence is weak by itself."
47,1357352003-0194,N1357352003,2001-01-05,380.15,543.48,/api/detection-crop?image=1357352003&x=380&y=543&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,164.61,8,,1,1.000,0.4375,"Strong bright blob, but single-frame evidence is weak by itself."
48,1357637415-0069,N1357637415,2001-01-08,95.74,471.57,/api/detection-crop?image=1357637415&x=96&y=472&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,284.94,7,,1,1.000,0.4125,"Strong bright blob, but single-frame evidence is weak by itself."
49,1357665093-0016,N1357665093,2001-01-08,807.46,164.30,/api/detection-crop?image=1357665093&x=807&y=164&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,395.79,6,,1,1.000,0.3875,"Strong bright blob, but single-frame evidence is weak by itself."
50,1357685285-0112,N1357685285,2001-01-08,474.82,382.50,/api/detection-crop?image=1357685285&x=475&y=382&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,379.47,6,,1,1.000,0.3875,"Strong bright blob, but single-frame evidence is weak by itself."
51,1357682416-0008,N1357682416,2001-01-08,428.07,73.69,/api/detection-crop?image=1357682416&x=428&y=74&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,317.53,6,,1,1.000,0.3875,"Strong bright blob, but single-frame evidence is weak by itself."
52,1357685285-0093,N1357685285,2001-01-08,504.70,306.29,/api/detection-crop?image=1357685285&x=505&y=306&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,162.69,6,,1,1.000,0.3875,"Strong bright blob, but single-frame evidence is weak by itself."
53,1357352003-0192,N1357352003,2001-01-05,823.83,535.84,/api/detection-crop?image=1357352003&x=824&y=536&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,564.80,5,,1,1.000,0.3625,"Strong bright blob, but single-frame evidence is weak by itself."
54,1357667116-1600,N1357667116,2001-01-08,367.96,1009.04,/api/detection-crop?image=1357667116&x=368&y=1009&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,402.78,5,,1,1.000,0.3625,"Strong bright blob, but single-frame evidence is weak by itself."
55,1357674094-0052,N1357674094,2001-01-08,316.82,479.90,/api/detection-crop?image=1357674094&x=317&y=480&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,203.84,5,,1,1.000,0.3625,"Strong bright blob, but single-frame evidence is weak by itself."
56,1357638093-0061,N1357638093,2001-01-08,717.61,548.63,/api/detection-crop?image=1357638093&x=718&y=549&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,173.37,5,,1,1.000,0.3625,"Strong bright blob, but single-frame evidence is weak by itself."
57,1357667285-0006,N1357667285,2001-01-08,164.95,31.31,/api/detection-crop?image=1357667285&x=165&y=31&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,287.36,4,,1,1.000,0.3375,"Strong bright blob, but single-frame evidence is weak by itself."
58,1357667794-0108,N1357667794,2001-01-08,895.25,681.83,/api/detection-crop?image=1357667794&x=895&y=682&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,270.60,4,,1,1.000,0.3375,"Strong bright blob, but single-frame evidence is weak by itself."
59,1357685285-0055,N1357685285,2001-01-08,906.18,154.87,/api/detection-crop?image=1357685285&x=906&y=155&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,255.45,4,,1,1.000,0.3375,"Strong bright blob, but single-frame evidence is weak by itself."
60,1357664584-0715,N1357664584,2001-01-08,153.93,752.40,/api/detection-crop?image=1357664584&x=154&y=752&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,243.76,4,,1,1.000,0.3375,"Strong bright blob, but single-frame evidence is weak by itself."
61,1358117118-0033,N1358117118,2001-01-13,979.81,140.15,/api/detection-crop?image=1358117118&x=980&y=140&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,184.23,4,,1,1.000,0.3375,"Strong bright blob, but single-frame evidence is weak by itself."
62,1357673416-1543,N1357673416,2001-01-08,158.93,814.90,/api/detection-crop?image=1357673416&x=159&y=815&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,178.46,4,,1,1.000,0.3375,"Strong bright blob, but single-frame evidence is weak by itself."
63,1357673585-0019,N1357673585,2001-01-08,98.12,89.79,/api/detection-crop?image=1357673585&x=98&y=90&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,250.98,3,,1,1.000,0.3125,"Strong bright blob, but single-frame evidence is weak by itself."
64,1357685285-0071,N1357685285,2001-01-08,587.04,220.95,/api/detection-crop?image=1357685285&x=587&y=221&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,205.82,3,,1,1.000,0.3125,"Strong bright blob, but single-frame evidence is weak by itself."
65,1357646584-0889,N1357646584,2001-01-08,616.14,779.43,/api/detection-crop?image=1357646584&x=616&y=779&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,205.13,3,,1,1.000,0.3125,"Strong bright blob, but single-frame evidence is weak by itself."
66,1358114587-0121,N1358114587,2001-01-13,622.86,585.04,/api/detection-crop?image=1358114587&x=623&y=585&crop=128,strong_single_frame_candidate,single_frame_visual_review,uncertain,,,,,178.89,3,,1,1.000,0.3125,"Strong bright blob, but single-frame evidence is weak by itself."
67,1357685116-0026,N1357685116,2001-01-08,715.00,96.00,/api/detection-crop?image=1357685116&x=715&y=96&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,366.52,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
68,1357806858-0398,N1357806858,2001-01-10,402.00,601.00,/api/detection-crop?image=1357806858&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,296.12,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
69,1357811330-0392,N1357811330,2001-01-10,402.00,601.00,/api/detection-crop?image=1357811330&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,292.83,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
70,1358063118-0224,N1358063118,2001-01-13,988.00,902.00,/api/detection-crop?image=1358063118&x=988&y=902&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,200.02,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
71,1357352003-0215,N1357352003,2001-01-05,402.00,601.00,/api/detection-crop?image=1357352003&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,191.47,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
72,1357691416-0701,N1357691416,2001-01-09,522.00,747.00,/api/detection-crop?image=1357691416&x=522&y=747&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,176.83,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
73,1358117118-0283,N1358117118,2001-01-13,318.00,946.00,/api/detection-crop?image=1358117118&x=318&y=946&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,172.49,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
74,1357806858-0226,N1357806858,2001-01-10,623.00,335.00,/api/detection-crop?image=1357806858&x=623&y=335&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,152.87,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
75,1358108287-0180,N1358108287,2001-01-13,402.00,601.00,/api/detection-crop?image=1358108287&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,151.10,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
76,1357352003-0267,N1357352003,2001-01-05,731.00,735.00,/api/detection-crop?image=1357352003&x=731&y=735&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,150.99,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
77,1357811330-0216,N1357811330,2001-01-10,623.00,335.00,/api/detection-crop?image=1357811330&x=623&y=335&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,150.48,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
78,1358117287-0194,N1358117287,2001-01-13,402.00,601.00,/api/detection-crop?image=1358117287&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,150.02,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
79,1358063287-0194,N1358063287,2001-01-13,402.00,601.00,/api/detection-crop?image=1358063287&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,148.97,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
80,1357685285-0182,N1357685285,2001-01-08,402.00,601.00,/api/detection-crop?image=1357685285&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,147.11,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
81,1357658284-0162,N1357658284,2001-01-08,402.00,601.00,/api/detection-crop?image=1357658284&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,144.03,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
82,1357676285-0173,N1357676285,2001-01-08,402.00,601.00,/api/detection-crop?image=1357676285&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,143.75,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
83,1357649284-0160,N1357649284,2001-01-08,402.00,601.00,/api/detection-crop?image=1357649284&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,143.46,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
84,1357667285-0154,N1357667285,2001-01-08,402.00,601.00,/api/detection-crop?image=1357667285&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,141.09,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
85,1358063287-0001,N1358063287,2001-01-13,492.00,4.00,/api/detection-crop?image=1358063287&x=492&y=4&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,139.15,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
86,1357631284-0168,N1357631284,2001-01-08,402.00,601.00,/api/detection-crop?image=1357631284&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,137.63,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
87,1358117287-0242,N1358117287,2001-01-13,731.00,735.00,/api/detection-crop?image=1358117287&x=731&y=735&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,132.23,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
88,1358108118-0149,N1358108118,2001-01-13,402.00,601.00,/api/detection-crop?image=1358108118&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,131.08,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
89,1358108287-0236,N1358108287,2001-01-13,731.00,735.00,/api/detection-crop?image=1358108287&x=731&y=735&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,129.94,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
90,1357685285-0216,N1357685285,2001-01-08,731.00,735.00,/api/detection-crop?image=1357685285&x=731&y=735&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,129.72,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
91,1358063118-0152,N1358063118,2001-01-13,402.00,601.00,/api/detection-crop?image=1358063118&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,129.67,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
92,1357685116-0155,N1357685116,2001-01-08,402.00,601.00,/api/detection-crop?image=1357685116&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,128.88,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
93,1358063287-0234,N1358063287,2001-01-13,731.00,735.00,/api/detection-crop?image=1358063287&x=731&y=735&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,128.50,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
94,1356981845-0194,N1356981845,2000-12-31,402.00,601.00,/api/detection-crop?image=1356981845&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,128.17,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
95,1357649284-0201,N1357649284,2001-01-08,731.00,735.00,/api/detection-crop?image=1357649284&x=731&y=735&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,127.78,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
96,1357658284-0216,N1357658284,2001-01-08,731.00,735.00,/api/detection-crop?image=1357658284&x=731&y=735&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,126.73,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
97,1358117118-0135,N1358117118,2001-01-13,402.00,601.00,/api/detection-crop?image=1358117118&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,125.33,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
98,1357658115-0139,N1357658115,2001-01-08,402.00,601.00,/api/detection-crop?image=1357658115&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,123.82,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
99,1357667116-0147,N1357667116,2001-01-08,402.00,601.00,/api/detection-crop?image=1357667116&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,122.69,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
100,1357649115-0135,N1357649115,2001-01-08,402.00,601.00,/api/detection-crop?image=1357649115&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,121.56,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
101,1357676116-0127,N1357676116,2001-01-08,402.00,601.00,/api/detection-crop?image=1357676116&x=402&y=601&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,121.05,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
102,1357676285-0213,N1357676285,2001-01-08,731.00,735.00,/api/detection-crop?image=1357676285&x=731&y=735&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,121.05,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
103,1357676116-0023,N1357676116,2001-01-08,133.00,117.00,/api/detection-crop?image=1357676116&x=133&y=117&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,120.42,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
104,1358063287-0081,N1358063287,2001-01-13,399.00,299.00,/api/detection-crop?image=1358063287&x=399&y=299&crop=128,likely_artifact,review_as_negative_example,artifact,,,,,120.21,1,single_pixel|too_small,1,,0.0000,Artifact-flagged rows are useful false-positive/negative-training examples.
