blind_id,candidate_id,review_order,review_batch,next_action,suggested_human_label,reviewer_task,review_note_prompt
BR-029,1357676285-0173,52,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-030,1357658284-0162,51,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-031,1358117118-0135,97,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-032,1356990399-0193,17,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-033,1356985927-0123,14,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-034,1356976983-0402,27,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-035,1357667285-0194,105,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-036,1356981455-0109,24,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-037,1356990399-0030,15,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-038,1358117118-0283,43,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-039,1357676116-0127,101,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-040,1356990399-0013,13,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-041,1358099796-0108,60,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-042,1357685285-0112,70,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-043,1358063287-0194,49,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-044,1356985927-0308,21,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-045,1358063287-0001,55,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-046,1357810970-0239,4,01_known_validation_positive,confirm_known_validation_mark,known-lightning,Confirm that the detector candidate matches the published lightning location.,Record whether the crop visually matches the published mark and whether the nearby context looks plausible.
BR-047,1357676116-0023,103,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-048,1356981845-0194,94,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-049,1357029177-0148,1,01_known_validation_positive,confirm_known_validation_mark,known-lightning,Confirm that the detector candidate matches the published lightning location.,Record whether the crop visually matches the published mark and whether the nearby context looks plausible.
BR-050,1358108118-0149,88,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-051,1357628584-0070,66,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-052,1356990399-0080,9,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-053,1357664584-0715,80,05_low_priority_hold,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-054,1356990399-0202,7,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-055,1357685285-0182,50,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-056,1358063118-0152,91,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-057,1358108287-0236,89,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-058,1357685116-0155,92,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-059,1356985927-0074,28,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-060,1357667794-0108,78,05_low_priority_hold,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-061,1357667116-1600,74,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-062,1357646584-0889,85,05_low_priority_hold,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-063,1356985927-0055,29,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-064,1356976983-0286,36,02_temporal_persistence_check,temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-065,1357691416-0701,42,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-066,1357685285-0093,72,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-067,1358114587-0079,65,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-068,1357667285-0006,77,05_low_priority_hold,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-069,1357811330-0399,59,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-070,1357658284-0195,61,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-071,1357352003-0192,73,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-072,1356977373-0211,106,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-073,1356985927-0198,35,02_temporal_persistence_check,temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-074,1356990399-0086,18,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-075,1356985927-0173,33,02_temporal_persistence_check,temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-076,1356985927-0012,25,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-077,1357352003-0194,67,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-078,1358105418-1483,62,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-079,1357811330-0216,47,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-080,1357685116-0026,37,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-081,1357685285-0055,79,05_low_priority_hold,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-082,1357685285-0071,84,05_low_priority_hold,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-083,1358117118-0033,81,05_low_priority_hold,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-084,1356985927-0245,11,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-085,1357811330-0392,39,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-086,1357806858-0226,44,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-087,1357673416-1543,82,05_low_priority_hold,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-088,1357658284-0216,96,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-089,1356990399-0348,30,02_temporal_persistence_check,temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-090,1357029177-0219,2,01_known_validation_positive,confirm_known_validation_mark,known-lightning,Confirm that the detector candidate matches the published lightning location.,Record whether the crop visually matches the published mark and whether the nearby context looks plausible.
BR-091,1357352003-0267,46,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-092,1357682416-0008,71,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-093,1356985927-0141,10,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-094,1356976983-0161,8,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-095,1357673585-0019,83,05_low_priority_hold,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-096,1357810970-0228,3,01_known_validation_positive,confirm_known_validation_mark,known-lightning,Confirm that the detector candidate matches the published lightning location.,Record whether the crop visually matches the published mark and whether the nearby context looks plausible.
BR-097,1357667285-0063,63,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-098,1357674094-0052,75,04_strong_single_frame_check,single_frame_visual_review,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
BR-099,1356976983-0095,34,02_temporal_persistence_check,temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-100,1357649284-0201,95,05_low_priority_hold,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-101,1356981455-0275,23,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-102,1358108287-0180,45,03_negative_artifact_examples,review_as_negative_example,cosmic-ray-hot-pixel,Decide whether this is a clear non-lightning example for the negative set.,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
BR-103,1357885387-0203,5,01_known_validation_positive,confirm_known_validation_mark,known-lightning,Confirm that the detector candidate matches the published lightning location.,Record whether the crop visually matches the published mark and whether the nearby context looks plausible.
BR-104,1356985927-0162,12,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-105,1356990399-0056,19,02_temporal_persistence_check,priority_temporal_review,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.
BR-106,1358114587-0121,86,05_low_priority_hold,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,Record whether it looks diffuse/multi-pixel or too isolated to trust.
